review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD012623,9,ratio,0.0571,0.0024,-0.1536,0.2678,0.4213,-0.0841,0.1984,0.2825,-0.0827,0.1969,0.2796,0.778,0.778,0.778,1.492,1.507,True
CD012635,6,ratio,-0.0308,0.0169,-0.7384,0.6767,1.4151,-0.4938,0.4321,0.9259,-0.4774,0.4157,0.893,0.667,0.667,0.667,1.528,1.585,True
CD012693,8,ratio,-0.7774,0.1469,-3.041,1.4863,4.5273,-1.9234,0.3687,2.2921,-1.8823,0.3275,2.2098,1.0,0.625,0.625,1.975,2.049,True
CD012712,20,ratio,-0.819,0,-1.7468,0.1089,1.8558,-0.9623,-0.6756,0.2867,-0.9376,-0.7003,0.2373,0.9,0.35,0.35,6.473,7.82,True
CD012718,5,ratio,0.4882,0.0559,-0.2267,1.2031,1.4298,-0.3503,1.3267,1.677,-0.2357,1.2122,1.4479,1.0,1.0,1.0,0.853,0.988,False
CD012850,5,ratio,-0.0373,0.0069,-0.6629,0.5883,1.2513,-0.4853,0.4107,0.896,-0.4364,0.3618,0.7982,0.6,0.6,0.6,1.396,1.568,True
CD012891,13,ratio,-0.597,0.2034,-1.564,0.37,1.934,-1.6533,0.4594,2.1127,-1.643,0.449,2.092,0.769,0.846,0.846,0.915,0.924,False
CD012905,12,ratio,-0.3734,0.063,-1.8115,1.0648,2.8763,-0.9961,0.2493,1.2454,-0.9927,0.2459,1.2386,0.833,0.833,0.833,2.309,2.322,True
CD012925,6,ratio,-0.135,0.0469,-0.9413,0.6714,1.6127,-0.8023,0.5323,1.3346,-0.7571,0.4871,1.2442,1.0,1.0,1.0,1.208,1.296,True
CD012942,36,ratio,0.0284,0.0432,-0.6422,0.699,1.3411,-0.4063,0.4631,0.8694,-0.4056,0.4624,0.8681,0.972,0.861,0.861,1.543,1.545,True
CD012993,13,ratio,0.1398,0.11,-1.2585,1.5382,2.7967,-0.6776,0.9573,1.6348,-0.6707,0.9504,1.6211,1.0,0.846,0.846,1.711,1.725,True
CD013042,13,ratio,0.0774,0.0093,-0.7753,0.9301,1.7055,-0.1572,0.3121,0.4693,-0.1656,0.3205,0.4861,1.0,0.615,0.615,3.634,3.509,True
CD013051,7,ratio,0.6274,0.2259,-2.3432,3.598,5.9413,-0.6962,1.951,2.6472,-0.5915,1.8463,2.4378,1.0,1.0,1.0,2.244,2.437,True
CD013052,5,ratio,0.0185,0,-0.0789,0.1159,0.1949,-0.0773,0.1142,0.1915,-0.0249,0.0619,0.0868,0.8,0.8,0.6,1.018,2.245,True
CD013054,8,ratio,-0.2663,0.0084,-0.5144,-0.0181,0.4962,-0.5221,-0.0104,0.5117,-0.5107,-0.0218,0.4889,1.0,1.0,1.0,0.97,1.015,False
CD013059,5,ratio,1.2367,0,-1.2374,3.7108,4.9482,-0.4829,2.9563,3.4392,0.0035,2.4699,2.4663,1.0,0.8,0.8,1.439,2.006,True
CD013071,16,ratio,-0.2997,0,-1.9428,1.3434,3.2861,-0.6783,0.0789,0.7572,-0.5788,-0.0206,0.5581,0.875,0.375,0.25,4.34,5.888,True
CD013105,5,ratio,-0.7443,0.4552,-3.4815,1.9929,5.4744,-3.3364,1.8477,5.1841,-2.9377,1.449,4.3867,1.0,1.0,1.0,1.056,1.248,True
CD013197,64,ratio,-0.1503,1.2938,-3.0518,2.7512,5.803,-2.4549,2.1544,4.6093,-2.4468,2.1462,4.5929,1.0,0.984,0.984,1.259,1.263,True
CD013232,121,ratio,0.0314,0,-1.4879,1.5508,3.0387,-0.1132,0.1761,0.2893,-0.0887,0.1516,0.2403,0.876,0.132,0.124,10.504,12.647,True
CD013255,9,ratio,0.8126,0.1356,-0.0523,1.6776,1.73,-0.1218,1.7471,1.8689,-0.0985,1.7238,1.8222,1.0,1.0,1.0,0.926,0.949,False
