review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD004871,5,ratio,-0.4359,0.0768,-1.3101,0.4383,1.7484,-1.4458,0.574,2.0198,-1.3472,0.4754,1.8226,1.0,1.0,1.0,0.866,0.959,False
CD004925,31,ratio,-1.0626,0,-4.0409,1.9157,5.9567,-1.4199,-0.7053,0.7146,-1.4002,-0.725,0.6752,1.0,0.226,0.226,8.335,8.822,True
CD004953,11,ratio,0.0023,0.0631,-1.0049,1.0094,2.0143,-0.655,0.6596,1.3146,-0.6406,0.6452,1.2858,0.909,0.727,0.727,1.532,1.567,True
CD005133,39,ratio,-0.1025,0.0067,-1.1438,0.9387,2.0825,-0.299,0.094,0.393,-0.2987,0.0936,0.3923,0.795,0.308,0.308,5.299,5.308,True
CD005187,5,ratio,-0.3654,0.0045,-0.6683,-0.0624,0.6059,-0.6771,-0.0536,0.6235,-0.6361,-0.0946,0.5415,1.0,1.0,1.0,0.972,1.119,False
CD005343,31,ratio,-0.5631,0.1491,-3.5842,2.458,6.0422,-1.3989,0.2727,1.6716,-1.4093,0.2831,1.6925,1.0,0.548,0.548,3.615,3.57,True
CD005495,9,ratio,-0.1267,0,-1.543,1.2897,2.8327,-0.6117,0.3584,0.9701,-0.5574,0.3041,0.8615,0.889,0.667,0.667,2.92,3.288,True
CD005566,28,ratio,-0.1776,0,-4.4777,4.1225,8.6001,-0.2727,-0.0825,0.1902,-0.2711,-0.0841,0.187,1.0,0.071,0.071,45.212,46.001,True
CD005595,32,ratio,0.2041,0,-3.2289,3.637,6.866,-0.0942,0.5023,0.5965,-0.0486,0.4567,0.5053,1.0,0.219,0.219,11.51,13.588,True
CD005951,7,ratio,-0.2514,0.0579,-1.8693,1.3665,3.2357,-1.005,0.5022,1.5072,-0.964,0.4612,1.4253,1.0,0.714,0.714,2.147,2.27,True
CD006023,18,ratio,-1.2207,0.2555,-4.8569,2.4155,7.2724,-2.3664,-0.0749,2.2916,-2.3431,-0.0982,2.2448,1.0,0.833,0.833,3.174,3.24,True
CD006124,6,ratio,0.0204,0.4487,-1.3876,1.4285,2.816,-2.0321,2.073,4.105,-1.8928,1.9337,3.8265,1.0,1.0,1.0,0.686,0.736,False
CD006140,8,ratio,-0.2352,0.0204,-1.234,0.7636,1.9976,-0.6212,0.1507,0.7719,-0.6602,0.1897,0.8499,1.0,0.75,0.75,2.588,2.35,True
CD006185,78,ratio,0.5409,0.1663,-0.8122,1.894,2.7062,-0.2915,1.3733,1.6648,-0.2899,1.3717,1.6615,0.897,0.628,0.628,1.626,1.629,True
CD006257,9,ratio,-0.0901,0.0216,-5.4279,5.2478,10.6757,-0.5355,0.3553,0.8908,-0.5181,0.3379,0.8559,1.0,0.444,0.444,11.985,12.472,True
CD006404,112,ratio,-0.0351,0.0422,-1.5561,1.4858,3.042,-0.4515,0.3812,0.8328,-0.4514,0.3812,0.8326,0.893,0.482,0.482,3.653,3.654,True
CD006475,27,ratio,-0.1499,0.0271,-0.9876,0.6878,1.6754,-0.5123,0.2125,0.7248,-0.5143,0.2144,0.7287,0.889,0.519,0.519,2.312,2.299,True
CD006515,5,ratio,0.2932,0,-1.2581,1.8445,3.1026,-1.4924,2.0789,3.5713,-0.7345,1.3209,2.0554,1.0,1.0,0.8,0.869,1.509,False
CD006536,43,ratio,-0.1616,0,-2.6206,2.2974,4.918,-0.4952,0.172,0.6672,-0.4334,0.1102,0.5436,1.0,0.14,0.14,7.371,9.047,True
CD006632,23,difference,-1.1693,0.4923,-4.3152,1.9766,6.2918,-2.711,0.3724,3.0834,-2.754,0.4154,3.1694,0.826,0.565,0.609,2.041,1.985,True
CD006689,5,ratio,-0.4712,0,-1.2654,0.323,1.5884,-1.1694,0.227,1.3965,-0.964,0.0215,0.9855,0.8,0.8,0.8,1.137,1.612,True
CD006913,29,ratio,-0.0594,0.0073,-1.0018,0.8829,1.8847,-0.2406,0.1218,0.3624,-0.2489,0.1301,0.379,0.966,0.828,0.862,5.2,4.973,True
CD006919,19,ratio,0.4066,0.12,-1.1422,1.9554,3.0976,-0.3975,1.2107,1.6082,-0.3953,1.2085,1.6037,0.895,0.684,0.684,1.926,1.931,True
CD007024,18,ratio,0.1389,0,-0.7827,1.0605,1.8432,-0.0209,0.2987,0.3196,0.0029,0.2749,0.272,0.833,0.444,0.389,5.767,6.775,True
CD007026,7,ratio,-0.0555,0,-0.616,0.505,1.121,-0.5626,0.4517,1.0143,-0.293,0.182,0.475,0.571,0.571,0.571,1.105,2.36,True
CD007079,10,ratio,-0.224,0.0426,-0.986,0.5379,1.5239,-0.7613,0.3132,1.0745,-0.7704,0.3223,1.0927,0.7,0.6,0.6,1.418,1.395,True
CD007130,26,ratio,0.0349,0.0035,-0.3144,0.3841,0.6984,-0.095,0.1647,0.2597,-0.0969,0.1666,0.2634,0.923,0.654,0.692,2.689,2.651,True
CD007310,7,ratio,0.292,0,-0.4552,1.0391,1.4944,-0.8751,1.4591,2.3342,-0.0372,0.6211,0.6583,0.857,1.0,0.714,0.64,2.27,False
CD007374,6,ratio,-0.1778,0,-1.0121,0.6565,1.6686,-1.2357,0.8801,2.1158,-0.6524,0.2968,0.9492,0.833,1.0,0.667,0.789,1.758,False
CD007491,8,ratio,0.0489,0.0507,-0.8054,0.9033,1.7087,-0.5916,0.6895,1.2812,-0.5688,0.6667,1.2355,1.0,0.875,0.875,1.334,1.383,True
CD007569,6,ratio,0.0815,0.0031,-0.3901,0.5531,0.9432,-0.1498,0.3128,0.4625,-0.128,0.291,0.419,1.0,0.833,0.833,2.039,2.251,True
CD007572,10,ratio,-0.1549,0.0075,-0.4399,0.13,0.5698,-0.3717,0.0619,0.4336,-0.3763,0.0664,0.4426,0.9,0.8,0.8,1.314,1.287,True
CD007639,5,ratio,-0.0323,0.1657,-0.9777,0.9131,1.8907,-1.5204,1.4558,2.9762,-1.3226,1.2581,2.5807,1.0,1.0,1.0,0.635,0.733,False
CD007674,28,ratio,0.3916,0.2472,-1.18,1.9633,3.1433,-0.6578,1.4411,2.0989,-0.663,1.4462,2.1092,0.893,0.75,0.75,1.498,1.49,True
CD007784,13,ratio,-0.3303,0.0072,-0.7934,0.1329,0.9262,-0.5412,-0.1193,0.4219,-0.5415,-0.1191,0.4224,0.769,0.538,0.538,2.195,2.193,True
CD007896,35,ratio,0.8428,0,-1.7009,3.3865,5.0874,0.5942,1.0915,0.4973,0.6038,1.0819,0.4781,1.0,0.286,0.286,10.23,10.64,True
CD008063,50,difference,0.1791,0.0129,-0.3816,0.7397,1.1213,-0.0562,0.4143,0.4706,-0.0571,0.4152,0.4722,0.92,0.7,0.7,2.383,2.375,True
CD008145,6,ratio,0.3092,0.0359,-0.1558,0.7741,0.9299,-0.2702,0.8885,1.1587,-0.2315,0.8499,1.0814,1.0,1.0,1.0,0.803,0.86,False
CD008165,13,ratio,-0.2079,0.0785,-1.7042,1.2884,2.9926,-0.8585,0.4426,1.3011,-0.8731,0.4573,1.3304,1.0,0.846,0.846,2.3,2.249,True
CD008176,38,ratio,-0.0488,0,-2.6195,2.5219,5.1414,-0.2032,0.1057,0.3089,-0.1734,0.0759,0.2494,1.0,0.211,0.158,16.646,20.617,True
CD008237,6,ratio,0.4677,0.0644,-0.6871,1.6224,2.3095,-0.3586,1.2939,1.6526,-0.2808,1.2161,1.4969,1.0,1.0,1.0,1.398,1.543,True
CD008349,68,difference,0.2695,0.2229,-1.2058,1.7447,2.9504,-0.6845,1.2235,1.908,-0.6872,1.2262,1.9134,0.971,0.882,0.897,1.546,1.542,True
CD008469,11,ratio,0.0199,0,-2.4893,2.5291,5.0184,-0.8466,0.8864,1.7331,-0.7592,0.7991,1.5583,1.0,0.455,0.455,2.896,3.22,True
CD008493,10,ratio,-0.1007,0.0299,-0.6446,0.4432,1.0878,-0.5448,0.3434,0.8882,-0.559,0.3575,0.9165,0.6,0.5,0.5,1.225,1.187,True
CD008552,5,ratio,0.2392,0.2673,-2.9123,3.3907,6.303,-1.6933,2.1717,3.865,-1.4328,1.9111,3.3439,1.0,1.0,1.0,1.631,1.885,True
CD008564,12,ratio,-0.1066,0.0007,-0.7543,0.5411,1.2954,-0.3076,0.0945,0.4021,-0.3049,0.0918,0.3968,0.917,0.417,0.417,3.221,3.265,True
CD008628,9,ratio,0.1709,0,-0.9873,1.3291,2.3164,-0.2606,0.6025,0.8631,-0.2113,0.5531,0.7644,0.889,0.444,0.444,2.684,3.03,True
CD008709,31,ratio,-0.3898,0,-2.889,2.1094,4.9984,-0.7549,-0.0248,0.7301,-0.6916,-0.088,0.6036,0.968,0.258,0.226,6.846,8.281,True
CD008858,63,ratio,0.7621,0.3548,-0.9097,2.434,3.3437,-0.4458,1.9701,2.4158,-0.4499,1.9742,2.4242,0.889,0.81,0.81,1.384,1.379,True
CD008879,8,ratio,-0.2404,0,-0.9905,0.5098,1.5003,-0.5393,0.0585,0.5978,-0.5199,0.0391,0.559,0.875,0.625,0.625,2.51,2.684,True
CD009022,9,ratio,1.0835,0,-1.3137,3.4807,4.7944,0.147,2.02,1.8729,0.4619,1.705,1.2431,1.0,0.667,0.667,2.56,3.857,True
CD009102,5,ratio,-0.3651,0.1144,-1.7647,1.0345,2.7992,-1.6595,0.9293,2.5889,-1.6462,0.916,2.5622,0.6,0.6,0.6,1.081,1.093,True
